15 de julio 2019,20,15,0 mm,Nublado,26 Km/h,A Coruña
16 de julio 2023,22,14,"0,9 mm",Lluvia moderada a intervalos,13 Km/h,A Coruña
16 de julio 2022,25,19,0 mm,Despejado,7 Km/h,A Coruña
16 de julio 2021,25,15,0 mm,Despejado,24 Km/h,A Coruña
16 de julio 2020,21,14,0 mm,Parcialmente nublado,33 Km/h,A Coruña
16 de julio 2019,19,16,"0,1 mm",Parcialmente nublado,29 Km/h,A Coruña
17 de julio 2023,24,13,0 mm,Despejado,28 Km/h,A Coruña
17 de julio 2022,25,18,0 mm,Despejado,11 Km/h,A Coruña
17 de julio 2021,26,17,0 mm,Despejado,16 Km/h,A Coruña
17 de julio 2020,23,15,0 mm,Parcialmente nublado,32 Km/h,A Coruña
17 de julio 2019,19,15,"0,5 mm",Parcialmente nublado,23 Km/h,A Coruña
18 de julio 2023,21,15,"0,3 mm",Lluvia moderada a intervalos,18 Km/h,A Coruña
18 de julio 2022,25,17,0 mm,Parcialmente nublado,26 Km/h,A Coruña
18 de julio 2021,24,19,0 mm,Parcialmente nublado,9 Km/h,A Coruña
18 de julio 2020,25,16,0 mm,Parcialmente nublado,19 Km/h,A Coruña
18 de julio 2019,21,14,0 mm,Parcialmente nublado,9 Km/h,A Coruña
19 de julio 2023,23,15,0 mm,Parcialmente nublado,24 Km/h,A Coruña
19 de julio 2022,22,17,"0,2 mm",Lluvia moderada a intervalos,25 Km/h,A Coruña
19 de julio 2021,22,17,0 mm,Parcialmente nublado,9 Km/h,A Coruña
19 de julio 2020,21,17,0 mm,Parcialmente nublado,29 Km/h,A Coruña
19 de julio 2019,22,16,0 mm,Neblina,8 Km/h,A Coruña
20 de julio 2023,21,14,"0,1 mm",Lluvia moderada a intervalos,13 Km/h,A Coruña
20 de julio 2022,20,16,"0,2 mm",Lluvia moderada a intervalos,24 Km/h,A Coruña
20 de julio 2021,21,16,"0,1 mm",Lluvia moderada a intervalos,9 Km/h,A Coruña
20 de julio 2020,21,17,0 mm,Nublado,33 Km/h,A Coruña
20 de julio 2019,21,17,1 mm,Llovizna a intervalos,9 Km/h,A Coruña
21 de julio 2023,21,14,"0,1 mm",Parcialmente nublado,18 Km/h,A Coruña
21 de julio 2022,25,16,0 mm,Nublado,29 Km/h,A Coruña
21 de julio 2021,21,16,0 mm,Neblina,10 Km/h,A Coruña
21 de julio 2020,22,16,0 mm,Nublado,35 Km/h,A Coruña
21 de julio 2019,21,15,0 mm,Parcialmente nublado,23 Km/h,A Coruña
22 de julio 2023,20,15,"1,3 mm",Llovizna a intervalos,18 Km/h,A Coruña
22 de julio 2021,20,16,0 mm,Neblina,10 Km/h,A Coruña
22 de julio 2020,22,16,0 mm,Parcialmente nublado,27 Km/h,A Coruña
22 de julio 2019,24,17,0 mm,Parcialmente nublado,19 Km/h,A Coruña
23 de julio 2023,21,14,"1,6 mm",Cielo cubierto,19 Km/h,A Coruña
23 de julio 2021,20,15,"1,5 mm",Ligeras precipitaciones,24 Km/h,A Coruña
23 de julio 2020,20,16,0 mm,Nublado,22 Km/h,A Coruña
23 de julio 2019,22,18,0 mm,Neblina,12 Km/h,A Coruña
24 de julio 2023,20,15,"4,9 mm",Ligeras precipitaciones,15 Km/h,A Coruña
24 de julio 2021,19,15,"0,2 mm",Lluvia moderada a intervalos,23 Km/h,A Coruña
24 de julio 2020,20,15,0 mm,Parcialmente nublado,14 Km/h,A Coruña
24 de julio 2019,25,16,0 mm,Parcialmente nublado,8 Km/h,A Coruña
25 de julio 2023,20,15,"1,3 mm",Lluvia moderada a intervalos,12 Km/h,A Coruña
25 de julio 2022,23,15,0 mm,Parcialmente nublado,13 Km/h,A Coruña
25 de julio 2021,19,14,"0,2 mm",Lluvia moderada a intervalos,11 Km/h,A Coruña
25 de julio 2020,21,15,0 mm,Neblina,10 Km/h,A Coruña
25 de julio 2019,20,17,"2,5 mm",Ligeras lluvias,21 Km/h,A Coruña
26 de julio 2023,24,15,0 mm,Nublado,14 Km/h,A Coruña
26 de julio 2022,22,14,0 mm,Cielo cubierto,24 Km/h,A Coruña
26 de julio 2021,20,16,"0,1 mm",Lluvia moderada a intervalos,13 Km/h,A Coruña
26 de julio 2020,20,17,"0,5 mm",Ligeras precipitaciones,14 Km/h,A Coruña
26 de julio 2019,19,16,"3,3 mm",Ligeras precipitaciones,12 Km/h,A Coruña
27 de julio 2023,24,16,0 mm,Parcialmente nublado,19 Km/h,A Coruña
27 de julio 2022,20,14,0 mm,Parcialmente nublado,18 Km/h,A Coruña
27 de julio 2021,19,16,"0,9 mm",Ligeras precipitaciones,14 Km/h,A Coruña
27 de julio 2020,22,16,"0,1 mm",Parcialmente nublado,16 Km/h,A Coruña
27 de julio 2019,19,15,"22,1 mm",Lluvia moderada,17 Km/h,A Coruña
28 de julio 2023,22,18,"6,9 mm",Ligeras precipitaciones,20 Km/h,A Coruña
28 de julio 2022,20,15,0 mm,Cielo cubierto,10 Km/h,A Coruña
28 de julio 2021,18,14,"0,2 mm",Lluvia moderada a intervalos,18 Km/h,A Coruña
28 de julio 2020,19,17,1 mm,Ligeras precipitaciones,27 Km/h,A Coruña
28 de julio 2019,22,14,0 mm,Despejado,13 Km/h,A Coruña
29 de julio 2023,23,17,"3,7 mm",Ligeras precipitaciones,14 Km/h,A Coruña
29 de julio 2022,22,16,"0,2 mm",Lluvia moderada a intervalos,22 Km/h,A Coruña
29 de julio 2021,19,14,0 mm,Parcialmente nublado,13 Km/h,A Coruña
29 de julio 2020,23,16,0 mm,Parcialmente nublado,30 Km/h,A Coruña
29 de julio 2019,18,15,"4,1 mm",Ligeras precipitaciones,27 Km/h,A Coruña
30 de julio 2023,23,15,"0,1 mm",Parcialmente nublado,13 Km/h,A Coruña
30 de julio 2022,26,16,0 mm,Parcialmente nublado,33 Km/h,A Coruña
30 de julio 2021,18,14,"0,9 mm",Llovizna,14 Km/h,A Coruña
30 de julio 2020,27,17,0 mm,Parcialmente nublado,14 Km/h,A Coruña
30 de julio 2019,18,14,"1,5 mm",Ligeras precipitaciones,13 Km/h,A Coruña
31 de julio 2023,25,14,0 mm,Despejado,16 Km/h,A Coruña
31 de julio 2022,28,17,0 mm,Despejado,33 Km/h,A Coruña
31 de julio 2021,18,14,"2,1 mm",Ligeras precipitaciones,12 Km/h,A Coruña
31 de julio 2020,22,16,"0,1 mm",Neblina,11 Km/h,A Coruña
31 de julio 2019,19,13,0 mm,Parcialmente nublado,23 Km/h,A Coruña
1 de agosto 2023,26,16,3 mm,Ligeras lluvias,19 Km/h,A Coruña
1 de agosto 2022,28,17,0 mm,Despejado,29 Km/h,A Coruña
1 de agosto 2021,18,13,"0,4 mm",Lluvia moderada a intervalos,13 Km/h,A Coruña
1 de agosto 2020,19,16,"0,1 mm",Neblina,20 Km/h,A Coruña
1 de agosto 2019,20,15,0 mm,Parcialmente nublado,27 Km/h,A Coruña
2 de agosto 2023,21,17,11 mm,Lluvia moderada,20 Km/h,A Coruña
2 de agosto 2022,25,17,0 mm,Parcialmente nublado,31 Km/h,A Coruña
2 de agosto 2021,19,14,"0,1 mm",Parcialmente nublado,18 Km/h,A Coruña
2 de agosto 2020,18,15,"0,2 mm",Lluvia moderada a intervalos,21 Km/h,A Coruña
2 de agosto 2019,22,16,0 mm,Nublado,14 Km/h,A Coruña
3 de agosto 2023,20,16,"5,3 mm",Ligeras precipitaciones,22 Km/h,A Coruña
3 de agosto 2022,24,17,0 mm,Parcialmente nublado,23 Km/h,A Coruña
3 de agosto 2021,19,15,"1,1 mm",Llovizna a intervalos,23 Km/h,A Coruña
3 de agosto 2020,20,14,"0,3 mm",Lluvia moderada a intervalos,12 Km/h,A Coruña
3 de agosto 2019,22,16,"0,2 mm",Neblina,8 Km/h,A Coruña
4 de agosto 2023,20,15,"1,3 mm",Lluvia moderada a intervalos,23 Km/h,A Coruña
4 de agosto 2022,23,18,0 mm,Parcialmente nublado,33 Km/h,A Coruña
4 de agosto 2021,20,14,"2,7 mm",Ligeras precipitaciones,11 Km/h,A Coruña
4 de agosto 2020,21,17,"0,7 mm",Neblina,20 Km/h,A Coruña
4 de agosto 2019,21,17,"0,9 mm",Ligeras precipitaciones,10 Km/h,A Coruña
5 de agosto 2023,20,14,0 mm,Cielo cubierto,22 Km/h,A Coruña
5 de agosto 2022,22,18,0 mm,Cielo cubierto,31 Km/h,A Coruña
5 de agosto 2021,20,15,"0,9 mm",Llovizna a intervalos,21 Km/h,A Coruña
5 de agosto 2020,22,16,0 mm,Parcialmente nublado,10 Km/h,A Coruña
5 de agosto 2019,21,15,0 mm,Nublado,10 Km/h,A Coruña
6 de agosto 2023,22,15,0 mm,Despejado,34 Km/h,A Coruña
6 de agosto 2022,27,18,"0,1 mm",Parcialmente nublado,36 Km/h,A Coruña
6 de agosto 2021,19,15,"1,1 mm",Ligeras precipitaciones,21 Km/h,A Coruña
6 de agosto 2020,22,17,0 mm,Parcialmente nublado,14 Km/h,A Coruña
6 de agosto 2019,21,17,"3,5 mm",Ligeras precipitaciones,13 Km/h,A Coruña
7 de agosto 2023,23,15,0 mm,Despejado,33 Km/h,A Coruña
7 de agosto 2022,29,17,0 mm,Despejado,33 Km/h,A Coruña
7 de agosto 2021,18,15,"4,8 mm",Ligeras precipitaciones,18 Km/h,A Coruña
7 de agosto 2020,22,18,0 mm,Neblina,11 Km/h,A Coruña
7 de agosto 2019,19,17,"5,7 mm",Ligeras lluvias,18 Km/h,A Coruña
8 de agosto 2023,28,15,0 mm,Despejado,27 Km/h,A Coruña
8 de agosto 2022,28,17,0 mm,Despejado,31 Km/h,A Coruña
8 de agosto 2021,19,14,"0,9 mm",Lluvia moderada a intervalos,11 Km/h,A Coruña
8 de agosto 2020,22,17,0 mm,Parcialmente nublado,23 Km/h,A Coruña
8 de agosto 2019,21,19,"12,8 mm",Lluvia moderada,27 Km/h,A Coruña
9 de agosto 2023,26,18,0 mm,Despejado,17 Km/h,A Coruña
9 de agosto 2022,30,18,"0,1 mm",Lluvia moderada a intervalos,35 Km/h,A Coruña
9 de agosto 2021,20,14,0 mm,Parcialmente nublado,7 Km/h,A Coruña
9 de agosto 2020,21,17,0 mm,Parcialmente nublado,17 Km/h,A Coruña
9 de agosto 2019,19,16,"7,7 mm",Ligeras precipitaciones,31 Km/h,A Coruña
10 de agosto 2023,25,16,0 mm,Despejado,17 Km/h,A Coruña
10 de agosto 2022,28,17,0 mm,Parcialmente nublado,15 Km/h,A Coruña
10 de agosto 2021,20,16,0 mm,Parcialmente nublado,16 Km/h,A Coruña
10 de agosto 2020,20,18,"0,3 mm",Lluvia moderada a intervalos,23 Km/h,A Coruña
10 de agosto 2019,19,15,"1,9 mm",Ligeras precipitaciones,17 Km/h,A Coruña
11 de agosto 2023,23,18,"0,2 mm",Cielo cubierto,13 Km/h,A Coruña
11 de agosto 2022,24,17,1 mm,Lluvia moderada a intervalos,14 Km/h,A Coruña
11 de agosto 2021,20,15,0 mm,Parcialmente nublado,15 Km/h,A Coruña
11 de agosto 2020,21,18,"1,2 mm",Lluvia moderada a intervalos,24 Km/h,A Coruña
11 de agosto 2019,18,14,"5,5 mm",Lluvia moderada a intervalos,17 Km/h,A Coruña
12 de agosto 2023,21,16,"0,4 mm",Parcialmente nublado,11 Km/h,A Coruña
12 de agosto 2022,24,16,0 mm,Despejado,12 Km/h,A Coruña
12 de agosto 2021,21,16,0 mm,Parcialmente nublado,16 Km/h,A Coruña
12 de agosto 2020,19,18,"1,5 mm",Llovizna,20 Km/h,A Coruña
12 de agosto 2019,18,14,"1,2 mm",Ligeras precipitaciones,14 Km/h,A Coruña
13 de agosto 2023,20,14,0 mm,Despejado,13 Km/h,A Coruña
13 de agosto 2022,22,15,0 mm,Parcialmente nublado,12 Km/h,A Coruña
13 de agosto 2021,21,16,0 mm,Parcialmente nublado,19 Km/h,A Coruña
13 de agosto 2020,21,16,"0,2 mm",Lluvia moderada a intervalos,7 Km/h,A Coruña
13 de agosto 2019,20,13,0 mm,Despejado,14 Km/h,A Coruña
14 de agosto 2023,22,14,0 mm,Parcialmente nublado,13 Km/h,A Coruña
14 de agosto 2022,23,14,0 mm,Despejado,20 Km/h,A Coruña
14 de agosto 2021,22,16,0 mm,Parcialmente nublado,16 Km/h,A Coruña
14 de agosto 2020,20,15,0 mm,Parcialmente nublado,10 Km/h,A Coruña
14 de agosto 2019,20,15,"0,5 mm",Llovizna,12 Km/h,A Coruña
15 de agosto 2023,21,16,"0,7 mm",Ligeras precipitaciones,23 Km/h,A Coruña
15 de agosto 2022,22,14,"0,1 mm",Nublado,24 Km/h,A Coruña
15 de agosto 2021,20,16,0 mm,Parcialmente nublado,17 Km/h,A Coruña
15 de agosto 2020,21,15,"0,7 mm",Lluvia moderada a intervalos,23 Km/h,A Coruña
15 de agosto 2019,20,15,0 mm,Nublado,14 Km/h,A Coruña
16 de agosto 2023,21,17,"0,5 mm",Lluvia moderada a intervalos,23 Km/h,A Coruña
16 de agosto 2022,18,16,"5,3 mm",Ligeras precipitaciones,24 Km/h,A Coruña
16 de agosto 2021,19,14,0 mm,Parcialmente nublado,24 Km/h,A Coruña
16 de agosto 2020,20,16,"3,4 mm",Lluvia moderada a intervalos,20 Km/h,A Coruña
16 de agosto 2019,22,15,0 mm,Despejado,16 Km/h,A Coruña
17 de agosto 2023,22,16,0 mm,Parcialmente nublado,13 Km/h,A Coruña
17 de agosto 2022,18,16,"2,9 mm",Ligeras precipitaciones,21 Km/h,A Coruña
17 de agosto 2021,19,15,0 mm,Parcialmente nublado,28 Km/h,A Coruña
17 de agosto 2020,19,13,11 mm,Lluvias fuertes o moderadas,17 Km/h,A Coruña
17 de agosto 2019,22,18,"0,3 mm",Cielo cubierto,21 Km/h,A Coruña
18 de agosto 2023,24,18,"3,7 mm",Llovizna a intervalos,31 Km/h,A Coruña
18 de agosto 2022,21,14,0 mm,Nublado,20 Km/h,A Coruña
18 de agosto 2021,20,15,0 mm,Parcialmente nublado,29 Km/h,A Coruña
18 de agosto 2020,23,17,"0,1 mm",Nublado,16 Km/h,A Coruña
18 de agosto 2019,19,15,"17,5 mm",Fuertes lluvias,18 Km/h,A Coruña
19 de agosto 2023,21,17,"7,2 mm",Ligeras precipitaciones,12 Km/h,A Coruña
19 de agosto 2022,24,14,0 mm,Despejado,21 Km/h,A Coruña
19 de agosto 2021,20,14,0 mm,Nublado,23 Km/h,A Coruña
19 de agosto 2020,22,19,"4,6 mm",Lluvia moderada a intervalos,30 Km/h,A Coruña
19 de agosto 2019,18,14,"0,1 mm",Parcialmente nublado,23 Km/h,A Coruña
20 de agosto 2023,22,16,0 mm,Nublado,16 Km/h,A Coruña
20 de agosto 2022,24,16,0 mm,Neblina,25 Km/h,A Coruña
20 de agosto 2021,21,14,0 mm,Parcialmente nublado,10 Km/h,A Coruña
20 de agosto 2020,21,15,10 mm,Parcialmente nublado,24 Km/h,A Coruña
20 de agosto 2019,20,15,"0,2 mm",Nublado,30 Km/h,A Coruña
21 de agosto 2023,23,18,0 mm,Neblina,20 Km/h,A Coruña
21 de agosto 2022,21,17,0 mm,Neblina,10 Km/h,A Coruña
21 de agosto 2021,20,16,"0,7 mm",Lluvia moderada a intervalos,14 Km/h,A Coruña
21 de agosto 2020,20,16,"1,2 mm",Ligeras precipitaciones,24 Km/h,A Coruña
21 de agosto 2019,21,16,0 mm,Despejado,28 Km/h,A Coruña
22 de agosto 2023,27,17,0 mm,Parcialmente nublado,24 Km/h,A Coruña
22 de agosto 2022,23,16,0 mm,Parcialmente nublado,17 Km/h,A Coruña
22 de agosto 2021,21,16,"0,2 mm",Lluvia moderada a intervalos,31 Km/h,A Coruña
22 de agosto 2020,20,14,0 mm,Parcialmente nublado,12 Km/h,A Coruña
22 de agosto 2019,25,16,0 mm,Despejado,17 Km/h,A Coruña
23 de agosto 2023,28,19,"6,8 mm",Lluvia moderada a intervalos,12 Km/h,A Coruña
23 de agosto 2022,25,17,0 mm,Neblina,23 Km/h,A Coruña
23 de agosto 2021,25,16,0 mm,Despejado,33 Km/h,A Coruña
23 de agosto 2020,20,15,0 mm,Parcialmente nublado,18 Km/h,A Coruña
23 de agosto 2019,25,19,0 mm,Despejado,8 Km/h,A Coruña
24 de agosto 2023,24,18,"0,5 mm",Parcialmente nublado,15 Km/h,A Coruña
24 de agosto 2021,26,16,0 mm,Parcialmente nublado,32 Km/h,A Coruña
24 de agosto 2020,22,15,0 mm,Parcialmente nublado,19 Km/h,A Coruña
24 de agosto 2019,21,16,0 mm,Despejado,9 Km/h,A Coruña
25 de agosto 2023,18,15,"1,7 mm",Ligeras precipitaciones,13 Km/h,A Coruña
25 de agosto 2022,18,17,"0,7 mm",Ligeras precipitaciones,25 Km/h,A Coruña
25 de agosto 2021,25,16,0 mm,Parcialmente nublado,22 Km/h,A Coruña
25 de agosto 2020,21,16,"0,1 mm",Lluvia moderada a intervalos,13 Km/h,A Coruña
25 de agosto 2019,21,16,"0,1 mm",Parcialmente nublado,26 Km/h,A Coruña
26 de agosto 2023,18,14,"8,5 mm",Ligeras precipitaciones,19 Km/h,A Coruña
26 de agosto 2022,21,17,0 mm,Cielo cubierto,32 Km/h,A Coruña
26 de agosto 2021,22,17,0 mm,Parcialmente nublado,10 Km/h,A Coruña
26 de agosto 2020,22,19,"0,2 mm",Lluvia moderada a intervalos,11 Km/h,A Coruña
26 de agosto 2019,21,17,"0,4 mm",Lluvia moderada a intervalos,27 Km/h,A Coruña
27 de agosto 2023,19,15,"8,9 mm",Ligeras precipitaciones,17 Km/h,A Coruña
27 de agosto 2022,24,18,0 mm,Nublado,31 Km/h,A Coruña
27 de agosto 2021,25,17,0 mm,Parcialmente nublado,13 Km/h,A Coruña
27 de agosto 2020,22,18,"1,8 mm",Ligeras precipitaciones,18 Km/h,A Coruña
27 de agosto 2019,21,17,"0,1 mm",Parcialmente nublado,17 Km/h,A Coruña
28 de agosto 2023,20,16,"6,5 mm",Ligeras precipitaciones,15 Km/h,A Coruña
28 de agosto 2022,24,17,0 mm,Parcialmente nublado,19 Km/h,A Coruña
28 de agosto 2021,21,15,0 mm,Parcialmente nublado,10 Km/h,A Coruña
28 de agosto 2020,17,16,"3,8 mm",Lluvia moderada a intervalos,17 Km/h,A Coruña
28 de agosto 2019,21,17,0 mm,Cielo cubierto,8 Km/h,A Coruña
29 de agosto 2023,20,16,"7,4 mm",Ligeras precipitaciones,15 Km/h,A Coruña
29 de agosto 2022,22,17,0 mm,Despejado,15 Km/h,A Coruña
29 de agosto 2021,22,15,0 mm,Parcialmente nublado,11 Km/h,A Coruña
29 de agosto 2020,18,15,"14,1 mm",Lluvias fuertes o moderadas,21 Km/h,A Coruña
29 de agosto 2019,22,15,0 mm,Parcialmente nublado,23 Km/h,A Coruña
30 de agosto 2023,20,15,"3,2 mm",Ligeras precipitaciones,13 Km/h,A Coruña
30 de agosto 2022,22,15,0 mm,Parcialmente nublado,13 Km/h,A Coruña
30 de agosto 2021,21,15,0 mm,Parcialmente nublado,12 Km/h,A Coruña
30 de agosto 2020,18,14,"1,9 mm",Ligeras precipitaciones,24 Km/h,A Coruña
30 de agosto 2019,24,17,0 mm,Nublado,16 Km/h,A Coruña
31 de agosto 2023,21,16,"0,3 mm",Lluvia moderada a intervalos,12 Km/h,A Coruña
31 de agosto 2022,20,14,0 mm,Nublado,13 Km/h,A Coruña
31 de agosto 2021,23,16,"0,4 mm",Lluvia moderada a intervalos,17 Km/h,A Coruña
31 de agosto 2020,19,12,"0,2 mm",Lluvia moderada a intervalos,14 Km/h,A Coruña
31 de agosto 2019,20,16,"0,7 mm",Ligeras precipitaciones,15 Km/h,A Coruña
1 de septiembre 2023,18,15,"23,4 mm",Ligeras precipitaciones,14 Km/h,A Coruña
1 de septiembre 2022,20,14,0 mm,Cielo cubierto,9 Km/h,A Coruña
1 de septiembre 2021,23,16,"0,7 mm",Lluvia moderada a intervalos,16 Km/h,A Coruña
1 de septiembre 2020,19,14,0 mm,Parcialmente nublado,25 Km/h,A Coruña
1 de septiembre 2019,19,16,1 mm,Llovizna a intervalos,32 Km/h,A Coruña
2 de septiembre 2023,20,13,"0,5 mm",Lluvia moderada a intervalos,31 Km/h,A Coruña
2 de septiembre 2022,19,15,"0,3 mm",Lluvia moderada a intervalos,12 Km/h,A Coruña
2 de septiembre 2021,22,16,"0,4 mm",Neblina,17 Km/h,A Coruña
2 de septiembre 2020,21,15,0 mm,Parcialmente nublado,22 Km/h,A Coruña
2 de septiembre 2019,21,16,"0,1 mm",Despejado,31 Km/h,A Coruña
3 de septiembre 2023,25,17,"0,7 mm",Lluvia moderada a intervalos,31 Km/h,A Coruña
3 de septiembre 2022,21,13,0 mm,Parcialmente nublado,25 Km/h,A Coruña
3 de septiembre 2021,22,16,0 mm,Parcialmente nublado,10 Km/h,A Coruña
3 de septiembre 2020,23,16,0 mm,Parcialmente nublado,13 Km/h,A Coruña
3 de septiembre 2019,24,15,0 mm,Despejado,21 Km/h,A Coruña
4 de septiembre 2023,23,17,13 mm,Ligeras precipitaciones,15 Km/h,A Coruña
4 de septiembre 2022,21,16,"0,1 mm",Nublado,32 Km/h,A Coruña
4 de septiembre 2021,23,15,0 mm,Parcialmente nublado,11 Km/h,A Coruña
4 de septiembre 2020,23,18,0 mm,Parcialmente nublado,19 Km/h,A Coruña
4 de septiembre 2019,20,16,0 mm,Parcialmente nublado,32 Km/h,A Coruña
5 de septiembre 2023,23,17,"4,9 mm",Cielo cubierto,17 Km/h,A Coruña
5 de septiembre 2022,22,18,"0,8 mm",Lluvia moderada a intervalos,25 Km/h,A Coruña
5 de septiembre 2021,24,16,0 mm,Parcialmente nublado,9 Km/h,A Coruña
5 de septiembre 2020,20,17,"0,3 mm",Lluvia moderada a intervalos,32 Km/h,A Coruña
5 de septiembre 2019,19,16,"0,5 mm",Parcialmente nublado,34 Km/h,A Coruña
6 de septiembre 2023,25,17,"0,2 mm",Cielos tormentosos en las aproximaciones,12 Km/h,A Coruña
6 de septiembre 2022,22,17,"0,1 mm",Nublado,25 Km/h,A Coruña
6 de septiembre 2021,28,18,"0,7 mm",Lluvia moderada a intervalos,9 Km/h,A Coruña
6 de septiembre 2020,19,16,"0,1 mm",Cielo cubierto,32 Km/h,A Coruña
6 de septiembre 2019,19,15,"0,1 mm",Parcialmente nublado,34 Km/h,A Coruña
7 de septiembre 2023,25,17,"5,2 mm",Lluvia moderada a intervalos,11 Km/h,A Coruña
7 de septiembre 2022,21,16,0 mm,Nublado,23 Km/h,A Coruña
7 de septiembre 2021,24,17,"0,9 mm",Lluvia moderada a intervalos,18 Km/h,A Coruña
7 de septiembre 2020,21,15,0 mm,Parcialmente nublado,32 Km/h,A Coruña
7 de septiembre 2019,19,15,0 mm,Despejado,31 Km/h,A Coruña
8 de septiembre 2023,24,17,"28,3 mm",Lluvias fuertes o moderadas,12 Km/h,A Coruña
8 de septiembre 2022,21,14,0 mm,Nublado,16 Km/h,A Coruña
8 de septiembre 2021,21,17,"0,5 mm",Ligeras precipitaciones,18 Km/h,A Coruña
8 de septiembre 2020,23,15,0 mm,Parcialmente nublado,26 Km/h,A Coruña
8 de septiembre 2019,20,16,0 mm,Parcialmente nublado,29 Km/h,A Coruña
9 de septiembre 2023,21,17,22 mm,Lluvias fuertes o moderadas,10 Km/h,A Coruña
9 de septiembre 2021,21,17,"1,3 mm",Ligeras precipitaciones,16 Km/h,A Coruña
9 de septiembre 2020,24,15,0 mm,Parcialmente nublado,25 Km/h,A Coruña
9 de septiembre 2019,18,15,"0,6 mm",Llovizna,21 Km/h,A Coruña
10 de septiembre 2023,22,16,"2,8 mm",Cielos tormentosos en las aproximaciones,12 Km/h,A Coruña
10 de septiembre 2022,23,15,0 mm,Despejado,10 Km/h,A Coruña
10 de septiembre 2021,21,16,0 mm,Nublado,9 Km/h,A Coruña
10 de septiembre 2020,23,16,0 mm,Parcialmente nublado,24 Km/h,A Coruña
10 de septiembre 2019,17,14,"2,2 mm",Ligeras precipitaciones,23 Km/h,A Coruña
11 de septiembre 2023,21,16,"1,3 mm",Lluvia moderada a intervalos,12 Km/h,A Coruña
11 de septiembre 2022,24,16,1 mm,Lluvia moderada a intervalos,11 Km/h,A Coruña
11 de septiembre 2021,22,15,0 mm,Parcialmente nublado,12 Km/h,A Coruña
11 de septiembre 2020,23,16,0 mm,Parcialmente nublado,19 Km/h,A Coruña
11 de septiembre 2019,18,14,"0,1 mm",Parcialmente nublado,25 Km/h,A Coruña
12 de septiembre 2023,20,16,0 mm,Parcialmente nublado,23 Km/h,A Coruña
12 de septiembre 2022,21,17,"1,8 mm",Ligeras precipitaciones,10 Km/h,A Coruña
12 de septiembre 2021,22,16,"0,3 mm",Parcialmente nublado,10 Km/h,A Coruña
12 de septiembre 2020,23,17,0 mm,Parcialmente nublado,23 Km/h,A Coruña
12 de septiembre 2019,22,14,0 mm,Despejado,25 Km/h,A Coruña
13 de septiembre 2023,20,16,0 mm,Nublado,25 Km/h,A Coruña
13 de septiembre 2022,20,17,"2,2 mm",Ligeras precipitaciones,16 Km/h,A Coruña
13 de septiembre 2021,24,17,1 mm,Ligeras precipitaciones,14 Km/h,A Coruña
13 de septiembre 2020,28,21,0 mm,Parcialmente nublado,9 Km/h,A Coruña
13 de septiembre 2019,23,16,0 mm,Despejado,29 Km/h,A Coruña
14 de septiembre 2023,24,16,0 mm,Parcialmente nublado,18 Km/h,A Coruña
14 de septiembre 2022,18,17,"4,4 mm",Ligeras precipitaciones,10 Km/h,A Coruña
14 de septiembre 2021,22,17,"0,1 mm",Lluvia moderada a intervalos,10 Km/h,A Coruña
14 de septiembre 2020,23,19,"0,4 mm",Lluvia moderada a intervalos,14 Km/h,A Coruña
14 de septiembre 2019,23,17,0 mm,Despejado,26 Km/h,A Coruña
15 de septiembre 2023,23,17,0 mm,Parcialmente nublado,14 Km/h,A Coruña
15 de septiembre 2022,22,17,"0,1 mm",Nublado,18 Km/h,A Coruña
15 de septiembre 2021,21,17,"1,2 mm",Lluvia moderada a intervalos,16 Km/h,A Coruña
15 de septiembre 2020,23,17,"0,1 mm",Nublado,12 Km/h,A Coruña
15 de septiembre 2019,22,17,"0,1 mm",Despejado,27 Km/h,A Coruña
16 de septiembre 2023,22,16,2 mm,Lluvias con tormenta fuertes o moderadas en la región,12 Km/h,A Coruña
16 de septiembre 2022,23,17,0 mm,Nublado,29 Km/h,A Coruña
16 de septiembre 2021,23,16,0 mm,Nublado,18 Km/h,A Coruña
16 de septiembre 2020,22,17,"0,2 mm",Parcialmente nublado,13 Km/h,A Coruña
16 de septiembre 2019,22,17,"0,5 mm",Parcialmente nublado,26 Km/h,A Coruña
17 de septiembre 2023,21,14,"14,1 mm",Ligeras lluvias,25 Km/h,A Coruña
17 de septiembre 2021,18,15,"0,5 mm",Ligeras precipitaciones,14 Km/h,A Coruña
17 de septiembre 2020,23,17,"17,5 mm",Lluvia moderada a intervalos,10 Km/h,A Coruña
17 de septiembre 2019,23,17,"8,1 mm",Lluvias fuertes o moderadas,16 Km/h,A Coruña
18 de septiembre 2023,20,15,"11,7 mm",Ligeras precipitaciones,14 Km/h,A Coruña
18 de septiembre 2022,25,16,0 mm,Parcialmente nublado,26 Km/h,A Coruña
18 de septiembre 2021,19,14,"0,4 mm",Lluvia moderada a intervalos,12 Km/h,A Coruña
18 de septiembre 2020,20,16,"5,5 mm",Neblina,8 Km/h,A Coruña
18 de septiembre 2019,23,16,"2,2 mm",Lluvia moderada a intervalos,10 Km/h,A Coruña
19 de septiembre 2023,20,14,"0,0 mm",Lluvia moderada a intervalos,14 Km/h,A Coruña
19 de septiembre 2022,27,15,0 mm,Despejado,25 Km/h,A Coruña
19 de septiembre 2021,20,13,"0,3 mm",Lluvia moderada a intervalos,14 Km/h,A Coruña
